text,label
Sunumu güncelleyip göndereceğim.,ham
Haftalık raporu haftaya ileteceğim.,ham
Toplantı notlarını paylaşıyorum.,ham
Bugünkü ders ertelenmiştir.,ham
Toplantı notlarını paylaşıyorum.,ham
Konuyla ilgili bilgilendirme yapıldı.,ham
Toplantı notlarını paylaşıyorum.,ham
Projeyle ilgili onayını bekliyorum.,ham
Toplantı pazartesi tarihinde yapılacaktır.,ham
Toplantı notlarını paylaşıyorum.,ham
Haftalık raporu bugün ileteceğim.,ham
"Maili aldım, teşekkür ederim.",ham
Yarın haftaya için randevu aldım.,ham
Sunumu güncelleyip göndereceğim.,ham
Sunumu güncelleyip göndereceğim.,ham
Projeyle ilgili geri dönüşünü bekliyorum.,ham
Bugünkü ders iptal edilmiştir.,ham
Dosyayı ek olarak gönderiyorum.,ham
Haftalık raporu haftaya ileteceğim.,ham
Dosyayı ek olarak gönderiyorum.,ham
Toplantı pazartesi tarihinde yapılacaktır.,ham
Yarın bugün için randevu aldım.,ham
Dosyayı ek olarak gönderiyorum.,ham
Haftalık raporu bugün ileteceğim.,ham
Haftalık raporu pazartesi ileteceğim.,ham
Bugünkü ders ertelenmiştir.,ham
Projeyle ilgili cevabını bekliyorum.,ham
Konuyla ilgili bilgilendirme yapıldı.,ham
Konuyla ilgili bilgilendirme yapıldı.,ham
Yarın pazartesi için randevu aldım.,ham
Toplantı pazartesi tarihinde yapılacaktır.,ham
Yarın salı için randevu aldım.,ham
Toplantı notlarını paylaşıyorum.,ham
Yarın pazartesi için randevu aldım.,ham
Toplantı pazartesi tarihinde yapılacaktır.,ham
Konuyla ilgili bilgilendirme yapıldı.,ham
Dosyayı ek olarak gönderiyorum.,ham
Konuyla ilgili bilgilendirme yapıldı.,ham
Yarın haftaya için randevu aldım.,ham
Toplantı salı tarihinde yapılacaktır.,ham
Projeyle ilgili cevabını bekliyorum.,ham
Yarın haftaya için randevu aldım.,ham
Yarın salı için randevu aldım.,ham
Projeyle ilgili onayını bekliyorum.,ham
Haftalık raporu haftaya ileteceğim.,ham
Yarın bugün için randevu aldım.,ham
Haftalık raporu yarın ileteceğim.,ham
Toplantı notlarını paylaşıyorum.,ham
"Maili aldım, teşekkür ederim.",ham
"Maili aldım, teşekkür ederim.",ham
Toplantı pazartesi tarihinde yapılacaktır.,ham
Projeyle ilgili geri dönüşünü bekliyorum.,ham
Yarın pazartesi için randevu aldım.,ham
Sunumu güncelleyip göndereceğim.,ham
Konuyla ilgili bilgilendirme yapıldı.,ham
Toplantı notlarını paylaşıyorum.,ham
Toplantı pazartesi tarihinde yapılacaktır.,ham
Haftalık raporu haftaya ileteceğim.,ham
Bugünkü ders iptal edilmiştir.,ham
Toplantı notlarını paylaşıyorum.,ham
Sunumu güncelleyip göndereceğim.,ham
Toplantı notlarını paylaşıyorum.,ham
Projeyle ilgili geri dönüşünü bekliyorum.,ham
Projeyle ilgili cevabını bekliyorum.,ham
Toplantı pazartesi tarihinde yapılacaktır.,ham
Dosyayı ek olarak gönderiyorum.,ham
Toplantı haftaya tarihinde yapılacaktır.,ham
Haftalık raporu yarın ileteceğim.,ham
"Maili aldım, teşekkür ederim.",ham
"Maili aldım, teşekkür ederim.",ham
Toplantı notlarını paylaşıyorum.,ham
Toplantı haftaya tarihinde yapılacaktır.,ham
Toplantı notlarını paylaşıyorum.,ham
Yarın bugün için randevu aldım.,ham
Toplantı yarın tarihinde yapılacaktır.,ham
Sunumu güncelleyip göndereceğim.,ham
"Maili aldım, teşekkür ederim.",ham
Projeyle ilgili cevabını bekliyorum.,ham
Dosyayı ek olarak gönderiyorum.,ham
Konuyla ilgili bilgilendirme yapıldı.,ham
Bugünkü ders iptal edilmiştir.,ham
Bugünkü ders iptal edilmiştir.,ham
Toplantı notlarını paylaşıyorum.,ham
Bugünkü ders ertelenmiştir.,ham
Haftalık raporu yarın ileteceğim.,ham
Haftalık raporu salı ileteceğim.,ham
Haftalık raporu salı ileteceğim.,ham
Dosyayı ek olarak gönderiyorum.,ham
Toplantı haftaya tarihinde yapılacaktır.,ham
Bugünkü ders ertelenmiştir.,ham
Dosyayı ek olarak gönderiyorum.,ham
"Maili aldım, teşekkür ederim.",ham
Projeyle ilgili geri dönüşünü bekliyorum.,ham
Sunumu güncelleyip göndereceğim.,ham
Haftalık raporu yarın ileteceğim.,ham
"Maili aldım, teşekkür ederim.",ham
Sunumu güncelleyip göndereceğim.,ham
Toplantı yarın tarihinde yapılacaktır.,ham
Bugünkü ders ertelenmiştir.,ham
Bugünkü ders yapılacaktır.,ham
Projeyle ilgili onayını bekliyorum.,ham
Dosyayı ek olarak gönderiyorum.,ham
Haftalık raporu bugün ileteceğim.,ham
Toplantı notlarını paylaşıyorum.,ham
Yarın haftaya için randevu aldım.,ham
Dosyayı ek olarak gönderiyorum.,ham
Dosyayı ek olarak gönderiyorum.,ham
Toplantı yarın tarihinde yapılacaktır.,ham
